Alice,85,92,78,81,90
Bob,90,88,84,85,87
Charlie,70,75,80,73,77
David,88,90,92,91,89
Eve,76,85,80,82,78
Frank,95,93,90,92,94
Grace,82,87,85,86,84
Hannah,79,83,78,81,80
Ian,88,85,90,87,86
Jack,92,90,91,89,93
Kate,88,89,91,90,87
Leo,77,85,80,82,79
Mia,92,95,90,93,91
Nathan,85,87,88,86,89
Olivia,91,93,92,90,94
Paul,70,72,75,74,71
Quinn,88,89,87,85,86
Rachel,80,82,85,83,84
Sam,78,80,79,81,82
Tom,85,87,88,86,84
Uma,90,92,91,93,89
Vince,85,84,83,86,87
Wendy,88,90,91,89,92
Xander,75,77,78,76,79
Yara,92,91,90,93,94
Zoe,88,89,87,85,86
